n,Sr No,Folder,Picture,Composition,composition_final,Element,Fraction,Frac,H2_W%,Pressure,Temperature,Che_pot,AN,Period,AR,Cr,VWR,EN,Density,EA,MP,BP,VEC,FIE,TC,BM,HF,MV,Mass,SH,M-M_Eng,M-M_Bond,M-H_Bond,M-H_Eng,formation_H,en_at_H,formation_M,en_at_M,vol_H,vol_M,vol_diff,EN.Diff,M-H.EN.Diff,Atomic.Size.Diff,dSmix,ele_lst,frac_lst,Element_corrected,frac_corrected,composition_final
12793,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,5.76013759795881,3.02152358601403,573,8118.93854768107,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12794,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,6.0422817568799,3.22459054529639,573,8273.8801230185,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12884,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,0.101842659628563,0.0512424366783567,623,-1731.63652571878,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
12885,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,0.172377055134507,0.221640956516623,623,2061.30015048663,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
12886,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,0.227051502457687,0.458329949165537,623,3942.96755931264,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
12887,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,0.308312549940677,0.643598792632695,623,4822.21495800357,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
12888,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,0.4068379379646,0.892740421403709,623,5669.69450849086,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
12889,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,0.75151940724957,0.965215583553232,623,5871.85354251406,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
12890,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,1.51432238068718,1.03355713049764,623,6049.03149590439,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
12891,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,2.1521828615705,1.07325500537285,623,6146.6454294756,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
12892,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,2.92794014382915,1.1350459373987,623,6291.62233673225,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
12893,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,3.49190053027918,1.64514348589674,623,7252.8885435126,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
12894,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,3.53451657425119,2.13442834993805,623,7927.23332129001,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
12895,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,3.57708419090051,2.84180659653907,623,8668.57937891511,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
12896,203,PCT,92.pdf-010.jpg,Mg2 Ni,Mg0.67Ni0.33,Mg Ni,0.67 0.33,0.67 0.33,3.62844136661905,3.45724176896241,623,9176.28735293339,17.28,3.33,1.4845,127.03,213.4,1.508,4.1061,0.3828,1187.32,1916.25,4.64,7.6467,137.23,89.55,11.505,11.5413,35.6554,830.25,-1.4327,3.0113,1.6677,-3.0348,-0.2339,-3.6246,0.0067,-2.9727,44.2818,33.4777,0.2203,0.2821,-0.692,11.09,5.2729,"['Mg', 'Ni']","['0.67', '0.33']","['Mg', 'Ni']",[0.67 0.33],Mg0.67Ni0.33
